index,company,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,average-mileage,price_usd,price_euro
0,Alfa-Romero,convertible,88.6,168.8,dohc,four,111,21,13495.0,14169.75
1,Alfa-Romero,convertible,88.6,168.8,dohc,four,111,21,16500.0,17325.0
3,Audi,sedan,99.8,176.6,ohc,four,102,24,13950.0,14647.5
4,Audi,sedan,99.4,176.6,ohc,five,115,18,17450.0,18322.5
5,Audi,sedan,99.8,177.3,ohc,five,110,19,15250.0,16012.5
6,Audi,wagon,105.8,192.7,ohc,five,110,19,18920.0,19866.0
9,Bmw,sedan,101.2,176.8,ohc,four,101,23,16430.0,17251.5
10,Bmw,sedan,101.2,176.8,ohc,four,101,23,16925.0,17771.25
11,Bmw,sedan,101.2,176.8,ohc,six,121,21,20970.0,22018.5
13,Bmw,sedan,103.5,189.0,ohc,six,182,16,30760.0,32298.0
14,Bmw,sedan,103.5,193.8,ohc,six,182,16,41315.0,43380.75
15,Bmw,sedan,110.0,197.0,ohc,six,182,15,36880.0,38724.0
16,Chevrolet,hatchback,88.4,141.1,l,three,48,47,5151.0,5408.55
17,Chevrolet,hatchback,94.5,155.9,ohc,four,70,38,6295.0,6609.75
18,Chevrolet,sedan,94.5,158.8,ohc,four,70,38,6575.0,6903.75
